Rank ,Puzzles ,AMT (s) ,Solved rate ,1-sigma Mean (s) ,1-sigma STD (s) 
1,1 1 4 6 ,4.39,99.2%,4.65,1.48
2,1 1 11 11 ,4.43,99.6%,4.7,1.46
3,1 1 3 8 ,4.44,99.2%,4.69,1.48
4,1 1 1 8 ,4.46,98.8%,4.65,1.25
5,6 6 6 6 ,4.58,99.4%,4.81,1.48
6,1 1 2 12 ,4.63,99.2%,4.95,1.57
7,1 2 2 6 ,4.8,99.2%,5.17,1.62
8,1 1 10 12 ,4.81,99%,5.05,1.54
9,1 1 1 12 ,4.85,99.2%,5.18,1.63
10,2 2 10 10 ,4.86,98.2%,5.14,1.63
11,1 1 2 8 ,4.98,97.7%,5.31,1.75
12,1 1 4 8 ,4.99,98.2%,5.36,1.84
13,1 1 5 8 ,5.01,96.4%,5.38,1.82
14,2 2 2 12 ,5.01,99.1%,5.34,1.68
15,1 1 3 12 ,5.02,97.3%,5.36,1.83
16,4 6 11 11 ,5.02,98.9%,5.39,1.73
17,3 3 3 8 ,5.03,98%,5.4,1.79
18,1 1 4 12 ,5.04,97.4%,5.46,1.85
19,1 1 12 12 ,5.05,99.4%,5.41,1.66
20,1 1 2 6 ,5.1,98.4%,5.41,1.61
21,1 1 2 11 ,5.11,98.9%,5.42,1.71
22,11 11 12 12 ,5.11,98.7%,5.51,1.88
23,1 2 3 4 ,5.12,99.1%,5.46,1.83
24,3 7 7 8 ,5.12,96.8%,5.5,1.91
25,1 1 13 13 ,5.15,99.3%,5.45,1.65
26,1 2 4 12 ,5.17,97.6%,5.58,2
27,1 1 3 6 ,5.18,97.7%,5.52,1.76
28,1 1 3 9 ,5.18,97%,5.52,1.86
29,1 1 5 6 ,5.19,96.8%,5.62,2.04
30,4 6 7 7 ,5.19,98.6%,5.53,1.83
31,1 1 2 13 ,5.2,98.7%,5.49,1.79
32,7 7 12 12 ,5.2,98.6%,5.6,1.88
33,1 1 11 13 ,5.23,99.1%,5.66,1.84
34,2 11 11 12 ,5.24,97.2%,5.67,1.99
35,4 6 13 13 ,5.24,98.8%,5.64,1.79
36,1 6 6 12 ,5.25,98.7%,5.59,1.72
37,4 5 12 12 ,5.25,97%,5.6,1.79
38,4 4 4 6 ,5.26,98.1%,5.62,1.96
39,12 12 12 12 ,5.26,99.3%,5.73,2.12
40,1 1 1 11 ,5.29,97.4%,5.57,1.66
41,1 1 11 12 ,5.29,99.3%,5.68,1.79
42,2 7 7 12 ,5.29,98.7%,5.65,1.88
43,10 10 12 12 ,5.3,98.6%,5.73,1.9
44,1 5 7 12 ,5.31,98.3%,5.88,2.12
45,2 2 3 8 ,5.32,98.2%,5.72,1.94
46,1 8 8 8 ,5.33,97.7%,5.68,1.95
47,3 8 13 13 ,5.33,94.8%,5.68,2.07
48,1 1 5 5 ,5.34,99.1%,5.7,1.81
49,2 9 9 12 ,5.34,97.4%,5.75,2
50,11 11 11 12 ,5.34,94.9%,5.63,1.99
51,9 9 12 12 ,5.35,98.4%,5.85,2.11
52,3 3 12 12 ,5.38,98.8%,5.85,2.05
53,1 1 4 5 ,5.39,97.8%,5.77,2.02
54,1 6 8 12 ,5.39,96.9%,5.77,1.99
55,3 8 11 11 ,5.39,95.9%,5.74,2.08
56,8 8 12 12 ,5.39,98.5%,5.83,1.97
57,5 6 12 12 ,5.4,97.1%,5.8,1.82
58,11 12 12 12 ,5.4,97.7%,5.74,1.87
59,12 12 13 13 ,5.4,98.6%,5.8,1.91
60,1 1 12 13 ,5.42,98.7%,5.81,1.84
61,1 3 5 12 ,5.42,96.4%,5.79,2.1
62,5 5 12 12 ,5.42,98.7%,5.78,1.73
63,3 8 10 10 ,5.43,95.6%,5.9,2.26
64,1 9 9 12 ,5.45,95.5%,5.73,1.77
65,3 8 9 9 ,5.45,97%,5.81,1.96
66,3 4 4 8 ,5.46,98.3%,5.86,1.94
67,2 3 3 12 ,5.47,98.6%,5.93,2.05
68,2 5 5 12 ,5.48,98.7%,5.89,1.99
69,11 11 11 13 ,5.49,98.4%,6.03,2.24
70,2 12 13 13 ,5.5,97.2%,5.84,2.01
71,7 7 11 12 ,5.5,93.6%,5.78,2.05
72,1 4 10 10 ,5.51,97.9%,5.92,2.09
73,5 5 11 12 ,5.51,96.5%,5.89,1.89
74,1 1 3 7 ,5.52,96.9%,5.83,1.95
75,1 3 4 12 ,5.53,98.6%,5.95,1.96
76,4 4 12 12 ,5.53,98.6%,5.95,2.05
77,1 2 5 8 ,5.54,95.6%,5.95,2.26
78,2 2 4 6 ,5.55,99%,5.93,1.91
79,3 5 5 8 ,5.55,97%,5.95,2.06
80,1 8 9 12 ,5.56,96.4%,5.87,1.97
81,1 3 10 10 ,5.57,97.4%,5.87,1.99
82,6 7 12 12 ,5.57,95.7%,5.95,2.04
83,2 3 12 12 ,5.58,97.4%,5.97,1.99
84,1 1 1 13 ,5.59,97.3%,5.9,1.77
85,1 4 7 12 ,5.59,98.4%,6,2.01
86,1 6 7 12 ,5.59,98.5%,5.99,1.99
87,2 3 3 8 ,5.59,96.9%,5.95,1.94
88,1 3 3 4 ,5.61,97.5%,5.85,1.77
89,8 8 11 13 ,5.61,97.1%,6.13,2.3
90,1 8 8 12 ,5.62,96.4%,5.91,1.89
91,2 7 7 8 ,5.64,96.8%,5.95,1.99
92,3 7 8 8 ,5.64,96%,6.01,2.05
93,1 1 4 7 ,5.65,97.1%,5.95,2.05
94,4 4 11 13 ,5.65,97.9%,6.25,2.35
95,5 5 7 7 ,5.65,97.9%,5.98,1.9
96,7 8 12 12 ,5.65,96.1%,6.09,2.12
97,9 9 11 12 ,5.65,94%,6,2.16
98,1 2 5 12 ,5.66,95.5%,6.12,2.2
99,1 7 9 12 ,5.66,96%,6.07,2.23
100,1 1 10 13 ,5.67,97.9%,6.1,2.2
101,4 6 6 6 ,5.67,98.3%,6.04,2.08
102,1 1 2 10 ,5.69,95.7%,5.98,1.83
103,1 6 9 12 ,5.69,95.5%,6.06,2.13
104,3 3 4 6 ,5.69,97.7%,6.11,2.1
105,4 5 5 6 ,5.69,97.4%,6.1,2.11
106,4 5 11 12 ,5.69,97.4%,6.07,2.1
107,2 2 12 12 ,5.7,98.7%,6.22,2.25
108,3 7 7 7 ,5.7,97.4%,6.03,2.01
109,1 2 2 10 ,5.71,96.4%,6.05,2.1
110,1 6 6 11 ,5.71,98.2%,6.18,2.24
111,1 7 7 10 ,5.71,97.9%,6.15,2.15
112,2 2 2 3 ,5.71,99%,5.97,1.71
113,4 8 11 11 ,5.71,95.1%,6.03,1.99
114,3 3 11 12 ,5.73,94.6%,6.12,2.19
115,4 4 11 12 ,5.73,91.8%,6.09,2.38
116,12 12 12 13 ,5.73,97.5%,6.06,1.96
117,3 6 11 11 ,5.74,94.4%,6,2.05
118,3 8 8 8 ,5.75,97.5%,6.1,2.15
119,8 9 12 12 ,5.75,96.1%,6.25,2.23
120,2 8 9 9 ,5.76,96.4%,6.16,2.12
121,1 2 2 12 ,5.77,97.7%,6.11,1.98
122,1 5 8 8 ,5.77,94.8%,6.36,2.68
123,2 2 3 12 ,5.77,98.1%,6.18,2.02
124,6 6 12 12 ,5.79,98.4%,6.33,2.36
125,7 7 11 13 ,5.79,97.5%,6.33,2.3
126,1 5 6 12 ,5.8,98.5%,6.19,2.07
127,4 6 9 9 ,5.8,96.3%,6.18,2.23
128,6 6 11 13 ,5.8,97.8%,6.31,2.24
129,1 4 4 12 ,5.81,95.6%,6.31,2.34
130,1 4 6 12 ,5.81,96.6%,6.24,2.43
131,3 4 4 6 ,5.82,97.4%,6.14,1.96
132,9 9 11 13 ,5.82,96.8%,6.36,2.4
133,3 8 12 13 ,5.83,95.9%,6.19,2.19
134,1 8 10 12 ,5.84,95.5%,6.17,2.18
135,11 13 13 13 ,5.86,97.7%,6.42,2.44
136,4 6 6 7 ,5.87,96.4%,6.22,2.08
137,2 4 4 12 ,5.88,98.4%,6.25,2.14
138,3 6 7 7 ,5.89,93.3%,6.25,2.34
139,4 6 8 8 ,5.89,96.8%,6.33,2.24
140,1 3 6 12 ,5.9,96.8%,6.31,2.2
141,3 4 11 13 ,5.9,96.4%,6.36,2.36
142,5 6 11 12 ,5.9,97.2%,6.36,2.23
143,1 4 5 12 ,5.91,95.8%,6.33,2.32
144,1 4 8 12 ,5.91,97.5%,6.28,2.2
145,2 4 11 11 ,5.91,96.2%,6.35,2.34
146,2 10 10 12 ,5.91,97.1%,6.29,2.31
147,3 6 6 8 ,5.92,97.1%,6.34,2.23
148,6 6 10 13 ,5.92,93.7%,6.44,2.67
149,1 3 3 12 ,5.93,95.4%,6.34,2.31
150,1 12 13 13 ,5.93,94.3%,6.26,2.16
151,3 6 13 13 ,5.93,94.6%,6.17,1.96
152,3 8 10 11 ,5.93,94.4%,6.29,2.35
153,4 6 10 11 ,5.93,94.5%,6.33,2.39
154,10 11 12 12 ,5.93,95.9%,6.29,2.05
155,4 8 10 10 ,5.94,97.5%,6.35,2.15
156,10 10 11 13 ,5.94,97.6%,6.5,2.34
157,1 11 11 12 ,5.95,93.4%,6.17,2.22
158,2 8 8 12 ,5.95,97.4%,6.5,2.47
159,4 5 12 13 ,5.95,97.7%,6.45,2.16
160,5 5 5 5 ,5.95,95.2%,6.37,2.16
161,1 1 3 13 ,5.97,95.1%,6.35,2.12
162,1 2 11 11 ,5.97,97.4%,6.46,2.45
163,1 3 6 8 ,5.97,95.5%,6.4,2.54
164,9 10 12 12 ,5.97,95.7%,6.26,2.03
165,1 2 6 6 ,5.98,97.5%,6.41,2.23
166,1 7 8 9 ,5.98,97.1%,6.42,2.29
167,1 6 12 12 ,5.99,94.5%,6.38,2.44
168,1 7 8 10 ,5.99,97.6%,6.42,2.3
169,2 8 10 10 ,5.99,95.3%,6.3,2.07
170,3 7 10 10 ,5.99,97.2%,6.38,2.21
171,4 6 10 10 ,5.99,96.4%,6.37,2.38
172,1 2 4 4 ,6,97%,6.34,2.14
173,1 2 6 12 ,6,96.9%,6.38,2.24
174,1 6 7 10 ,6,98.5%,6.55,2.28
175,1 5 7 11 ,6.02,98.5%,6.47,2.14
176,1 10 10 12 ,6.02,92.4%,6.24,2.09
177,4 5 5 5 ,6.02,97.4%,6.56,2.41
178,1 5 8 12 ,6.03,98.2%,6.5,2.22
179,1 2 10 12 ,6.04,97.4%,6.55,2.4
180,2 2 11 13 ,6.04,98%,6.6,2.43
181,3 9 9 9 ,6.05,97.6%,6.49,2.17
182,4 8 13 13 ,6.05,94.5%,6.27,1.91
183,1 1 4 4 ,6.06,94.5%,6.33,2.42
184,3 8 12 12 ,6.06,96.6%,6.51,2.48
185,1 1 6 6 ,6.07,97.2%,6.49,2.2
186,1 2 4 8 ,6.07,96.5%,6.47,2.32
187,3 4 12 12 ,6.07,94.6%,6.54,2.49
188,1 3 9 12 ,6.08,96.2%,6.49,2.34
189,1 6 8 9 ,6.08,98.1%,6.53,2.36
190,1 2 6 8 ,6.09,95.9%,6.42,2.33
191,4 7 7 8 ,6.09,93.8%,6.56,2.53
192,3 3 11 13 ,6.1,97%,6.62,2.5
193,1 7 8 8 ,6.11,96.6%,6.64,2.66
194,2 2 11 12 ,6.11,92.4%,6.5,2.55
