,    Solvables       ,        Solution 1       ,        Solution 2       ,        Solution 3       ,        Solution 4       ,        Solution 5       ,        Solution 6       ,        Solution 7       ,        Solution 8       ,        Solution 9       ,        Solution 10       ,        Solution 11       
1,    1 1 1 8 ,  (1+1+1)×8 ,,,,,,,,,,
2,    1 1 1 11 ,  (11+1)×(1+1) ,,,,,,,,,,
3,    1 1 1 12 ,  (1+1)×12×1 ,,,,,,,,,,
4,    1 1 1 13 ,  (13-1)×(1+1) ,,,,,,,,,,
5,    1 1 2 6 ,  (1+1)×6×2 ,  (2+1+1)×6 ,,,,,,,,,
6,    1 1 2 7 ,  (7+1)×(2+1) ,,,,,,,,,,
7,    1 1 2 8 ,  (2+1)×8×1 ,,,,,,,,,,
8,    1 1 2 9 ,  (9-1)×(2+1) ,,,,,,,,,,
9,    1 1 2 10 ,  (10+2)×(1+1) ,  (10+1+1)×2 ,,,,,,,,,
10,    1 1 2 11 ,  11×2+1+1 ,  (1+1)×11+2 ,  (11+1)×2×1 ,,,,,,,,
11,    1 1 2 12 ,  12×2+1-1 ,  12/(1-1/2) ,,,,,,,,,
12,    1 1 2 13 ,  13×2-1-1 ,  (1+1)×13-2 ,  (13-1)×2×1 ,,,,,,,,
13,    1 1 3 4 ,  (1+1)×4×3 ,,,,,,,,,,
14,    1 1 3 5 ,  (5+1)×(3+1) ,,,,,,,,,,
15,    1 1 3 6 ,  (6+1+1)×3 ,  (3+1)×6×1 ,,,,,,,,,
16,    1 1 3 7 ,  (7-1)×(3+1) ,  (7+1)×3×1 ,,,,,,,,,
17,    1 1 3 8 ,  8×3+1-1 ,,,,,,,,,,
18,    1 1 3 9 ,  (9+3)×(1+1) ,  (9-1)×3×1 ,,,,,,,,,
19,    1 1 3 10 ,  (10-1-1)×3 ,,,,,,,,,,
20,    1 1 3 11 ,  (11+1)×(3-1) ,,,,,,,,,,
21,    1 1 3 12 ,  (3-1)×12×1 ,,,,,,,,,,
22,    1 1 3 13 ,  (13-1)×(3-1) ,,,,,,,,,,
23,    1 1 4 4 ,  (4+1+1)×4 ,,,,,,,,,,
24,    1 1 4 5 ,  (4+1)×5-1 ,  (5+1)×4×1 ,,,,,,,,,
25,    1 1 4 6 ,  6×4+1-1 ,,,,,,,,,,
26,    1 1 4 7 ,  (7-1)×4×1 ,  (7+1)×(4-1) ,,,,,,,,,
27,    1 1 4 8 ,  (8+4)×(1+1) ,  (8-1-1)×4 ,  (4-1)×8×1 ,,,,,,,,
28,    1 1 4 9 ,  (9-1)×(4-1) ,,,,,,,,,,
29,    1 1 4 10 ,  (1+1)×10+4 ,,,,,,,,,,
30,    1 1 4 12 ,  12×4/(1+1) ,  (4-1-1)×12 ,,,,,,,,,
31,    1 1 5 5 ,  (5+1)×(5-1) ,  (5×5-1)×1 ,,,,,,,,,
32,    1 1 5 6 ,  (5-1)×6×1 ,  (6-1)×5-1 ,,,,,,,,,
33,    1 1 5 7 ,  (7+5)×(1+1) ,  (7-1)×(5-1) ,,,,,,,,,
34,    1 1 5 8 ,  (5-1-1)×8 ,,,,,,,,,,
35,    1 1 6 6 ,  (6+6)×(1+1) ,  (6-1-1)×6 ,,,,,,,,,
36,    1 1 6 8 ,  8×6/(1+1) ,,,,,,,,,,
37,    1 1 6 9 ,  (1+1)×9+6 ,,,,,,,,,,
